معرف المشروع,كود المشروع,المالك,رقم المشروع,المشروع,حالة المشروع,نوع المشروع,انواع الوحدات,موعد إفتتاح المشروع,الموقع,الإتجاه,الدولة,المدينة,الحي,بروشور المشروع,فيديوهات المشروع,صور المشروع,المرافق,عدد الوحدات,عدد الوحدات المتاحة,عدد الوحدات تحت الإنشاء,عدد الوحدات المحجوزة,عدد الوحدات المباعة,متوسط قيمة الوحدة,متوسط قيمة الوحدات المتاحة,إجمالي قيمة المشروع,نسبة بيع المشروع,إجمالي قيمة تحت الإنشاء,إجمالي قيمة المتاح,إجمالي قيمة المحجوز,إجمالي قيمة المباع,السعر الأدنى,السعر الأدنى المتاح,السعر الأقصى,السعر الأقصى المتاح,نطاق السعر,نطاق السعر المتاح,المساحة الأدنى,المساحة الأدنى المتاحة,المساحة الأقصى,المساحة الأقصى المتاحة,نطاق المساحة,نطاق المساحة المتاحة,عدد ادنى غرف نوم,عدد ادنى غرف نوم المتاحة,عدد اقصى غرف نوم,عدد اقصى غرف نوم متاحة,نطاق غرف النوم,نطاق غرف النوم المتاحة,عدد ادنى حمامات ,عدد ادنى حمامات متاحة,عدد اقصى حمامات,عدد اقصى حمامات متاحة,نطاق الحمامات,نطاق الحمامات المتاحة
24,ALN114,ألين,114,ألين - 114,تحت الإنشاء,سكني,دور,,https://maps.app.goo.gl/g331g3VUhP43BJKq9,شمال,المملكة العربية السعودية,الرياض,العقيق,https://aleen.cc/Upload/114/details.pdf,,,,3٫00,0٫00,3٫00,0٫00,0٫00,2٬269٬000,,6٬807٬000,0٫00%,6٬807٬000,0,0,0,2٬259٬000,0,2٬289٬000,0,2289000-2259000,0-0,177٫00,0٫00,191٫00,0٫00,191-177,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0
25,ALN116,ألين,116,ألين - 116,تحت الإنشاء,سكني,دور,,https://maps.app.goo.gl/aPzeBprVj13cSdA58,شرق,المملكة العربية السعودية,الرياض,المنار,https://aleen.cc/Upload/116/details.pdf,,,,4٫00,0٫00,4٫00,0٫00,0٫00,1٬424٬000,,5٬696٬000,0٫00%,5٬696٬000,0,0,0,1٬349٬000,0,1٬499٬000,0,1499000-1349000,0-0,170٫00,0٫00,177٫00,0٫00,177-170,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0
26,ALN118,ألين,118,ألين - 118,تحت الإنشاء,سكني,دور,,https://maps.app.goo.gl/aPzeBprVj13cSdA58,شمال,المملكة العربية السعودية,الرياض,المحمدية,https://aleen.cc/Upload/118/details.pdf,,,,15٫00,0٫00,15٫00,0٫00,0٫00,2٬255٬667,,33٬835٬000,0٫00%,33٬835٬000,0,0,0,1٬799٬000,0,2٬699٬000,0,2699000-1799000,0-0,104٫00,0٫00,177٫00,0٫00,177-104,0-0,0٫00,0٫00,0٫00,0٫00,0-0,0-0,0٫00,0٫00,0٫00,0٫00,0-0,0-0
27,ALN124,ألين,124,ألين - 124,تحت الإنشاء,سكني,دور,,https://maps.app.goo.gl/PdT3Tj4Dvk8kKpTv5,شمال,المملكة العربية السعودية,الرياض,المرسلات,https://aleen.cc/Upload/124/details.pdf,,,,4٫00,0٫00,4٫00,0٫00,0٫00,1٬936٬500,,7٬746٬000,0٫00%,7٬746٬000,0,0,0,1٬749٬000,0,1٬999٬000,0,1999000-1749000,0-0,149٫00,0٫00,162٫00,0٫00,162-149,0-0,0٫00,0٫00,0٫00,0٫00,0-0,0-0,0٫00,0٫00,0٫00,0٫00,0-0,0-0
28,ALN128,ألين,128,ألين - 128,تحت الإنشاء,سكني,دور,,https://maps.app.goo.gl/GZQdygQz2buAmz2a6,شرق,المملكة العربية السعودية,الرياض,الروابي,https://aleen.cc/Upload/128/details.pdf,,,,6٫00,0٫00,6٫00,0٫00,0٫00,1٬399٬000,,8٬394٬000,0٫00%,8٬394٬000,0,0,0,999٬000,0,1٬699٬000,0,1699000-999000,0-0,77٫00,0٫00,166٫00,0٫00,166-77,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0
29,ALN132,ألين,132,ألين - 132,تحت الإنشاء,سكني,دور,,https://maps.app.goo.gl/KN2rYWyKvWxME9sV8,شمال,المملكة العربية السعودية,الرياض,حطين,https://aleen.cc/Upload/132/details.pdf,,,,15٫00,0٫00,15٫00,0٫00,0٫00,2٬465٬667,,36٬985٬000,0٫00%,36٬985٬000,0,0,0,1٬999٬000,0,2٬899٬000,0,2899000-1999000,0-0,73٫00,0٫00,165٫00,0٫00,165-73,0-0,0٫00,0٫00,0٫00,0٫00,0-0,0-0,0٫00,0٫00,0٫00,0٫00,0-0,0-0
30,ALN136,ألين,136,ألين - 136,تحت الإنشاء,سكني,دور,,https://maps.app.goo.gl/b9UZzChGqqS28ubV8,شرق,المملكة العربية السعودية,الرياض,الربوة,https://aleen.cc/Upload/136/details.pdf,,,,12٫00,0٫00,12٫00,0٫00,0٫00,1٬399٬000,,16٬788٬000,0٫00%,16٬788٬000,0,0,0,999٬000,0,1٬699٬000,0,1699000-999000,0-0,74٫00,0٫00,164٫00,0٫00,164-74,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0
31,ALN140,ألين,140,ألين - 140,تحت الإنشاء,سكني,دور,,https://maps.app.goo.gl/PQG99pCQhSiA7Gwo9,شرق,المملكة العربية السعودية,الرياض,الربوة,https://aleen.cc/Upload/140/details.pdf,,,,9٫00,0٫00,9٫00,0٫00,0٫00,1٬349٬000,,12٬141٬000,0٫00%,12٬141٬000,0,0,0,899٬000,0,1٬699٬000,0,1699000-899000,0-0,72٫00,0٫00,165٫00,0٫00,165-72,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0,0٫00,0٫00,0٫00,0٫00,0-0,0-0
32,ALN156,ألين,156,ألين - 156,تحت الإنشاء,سكني,دور,,https://maps.app.goo.gl/UDj1zhtU5gP7FZt16,شرق,المملكة العربية السعودية,الرياض,جرير,https://aleen.cc/Upload/156/details.pdf,,,,9٫00,0٫00,9٫00,0٫00,0٫00,1٬326٬778,,11٬941٬000,0٫00%,11٬941٬000,0,0,0,899٬000,0,1٬599٬000,0,1599000-899000,0-0,68٫00,0٫00,155٫00,0٫00,155-68,0-0,3٫00,0٫00,3٫00,0٫00,3-3,0-0,4٫00,0٫00,4٫00,0٫00,4-4,0-0
33,SMD, سوامد,,سوامد,متاح,سكني,شقة,,https://maps.app.goo.gl/wx1wwEgFLzYgdNxr6,شرق,المملكة العربية السعودية,الرياض,المنار,,,,"صالة جلوس, مجلس, فناء خارجي, غرفة خدمات, مطبخ, صالة طعام",36٫00,36٫00,0٫00,0٫00,0٫00,808٬750,808٬750,29٬115٬000,0٫00%,0,29٬115٬000,0,0,695٬000,695٬000,910٬000,910٬000,910000-695000,910000-695000,90٫00,90٫00,149٫00,149٫00,149-90,149-90,2٫00,2٫00,3٫00,3٫00,3-2,3-2,2٫00,2٫00,3٫00,3٫00,3-2,3-2
34,KAL1,الخالدية,1,برج الخالدية,متاح,سكني,شقة,,https://maps.app.goo.gl/qdVJ5JZA2bqzGZVr6,جنوب,المملكة العربية السعودية,الرياض,المربع,https://drive.google.com/file/d/1WojWh2utWfc6vYtmvB9d7_qan2ndQ3ot/view?usp=drive_link,,,"صالة جلوس, مطبخ, صالة طعام",179٫00,179٫00,0٫00,0٫00,0٫00,615٬363,615٬363,110٬150٬000,0٫00%,0,110٬150٬000,0,0,370٬000,370٬000,770٬000,770٬000,770000-370000,770000-370000,46٫00,46٫00,135٫00,135٫00,135-46,135-46,1٫00,1٫00,3٫00,3٫00,3-1,3-1,1٫00,1٫00,2٫00,2٫00,2-1,2-1
35,WAH,بن عوين,1,وحي الإعمار,متاح,سكني,دور-شقة,,https://maps.app.goo.gl/evFDXRRdgZQbEiuG6,شمال,المملكة العربية السعودية,الرياض,الصحافة,,,,"صالة جلوس, مجلس, مطبخ",3٫00,3٫00,0٫00,0٫00,0٫00,1٬916٬667,1٬916٬667,5٬750٬000,0٫00%,0,5٬750٬000,0,0,1٬650٬000,1٬650٬000,2٬150٬000,2٬150٬000,2150000-1650000,2150000-1650000,175٫00,175٫00,281٫00,281٫00,281-175,281-175,0٫00,0٫00,0٫00,0٫00,0-0,0-0,0٫00,0٫00,0٫00,0٫00,0-0,0-0
